time,demo_victim_network.S_1.port[0].vlarb.StaticFreeCreditsNum in vla
0.1883645546,0
0.188366193,0
0.1883678314,0
0.1883694698,0
0.1883711082,0
0.1883727466,0
0.188374385,0
0.1883760234,0
0.1883776618,0
0.1883793002,0
0.1883809386,0
0.188382577,0
0.188408001,15
0.188408683666,13
0.188409366332,11
0.188410048998,9
0.188410731664,7
0.18841141433,5
0.188412096996,3
0.188412779662,1
0.188458342333,14
0.188459024999,12
0.188459707665,10
0.188460390331,8
0.188461072997,6
0.188461755663,4
0.188462438329,2
0.188463120995,0
0.1884645546,0
0.188466193,0
0.1884678314,0
0.1884694698,0
0.1884711082,0
0.1884727466,0
0.188474385,0
0.1884760234,0
0.1884776618,0
0.1884793002,0
0.1884809386,0
0.188482577,0
0.188508001,16
0.188508683666,14
0.188509366332,12
0.188510048998,10
0.188510731664,8
0.18851141433,6
0.188512096996,4
0.188512779662,2
0.188513462328,0
0.1885145546,0
0.188516193,0
0.1885178314,0
0.1885194698,0
0.1885211082,0
0.1885227466,0
0.188524385,0
0.1885260234,0
0.1885276618,0
0.1885293002,0
0.1885309386,0
0.188532577,0
0.1885342154,0
0.188558001,15
0.188558683666,13
0.188559366332,11
0.188560048998,9
0.188560731664,7
0.18856141433,5
0.188562096996,3
0.188562779662,1
0.188608342333,14
0.188609024999,12
0.188609707665,10
0.188610390331,8
0.188611072997,6
0.188611755663,4
0.188612438329,2
0.188613120995,0
0.1886145546,0
0.188616193,0
0.1886178314,0
0.1886194698,0
0.1886211082,0
0.1886227466,0
0.188624385,0
0.1886260234,0
0.1886276618,0
0.1886293002,0
0.1886309386,0
0.188632577,0
0.188658001,15
0.188658683666,13
0.188659366332,11
0.188660048998,9
0.188660731664,7
0.18866141433,5
0.188662096996,3
0.188662779662,1
0.188708342333,15
0.188709024999,13
0.188709707665,11
0.188710390331,9
0.188711072997,7
0.188711755663,5
0.188712438329,3
0.188713120995,1
0.188758342333,14
0.188759024999,12
0.188759707665,10
0.188760390331,8
0.188761072997,6
0.188761755663,4
0.188762438329,2
0.188763120995,0
0.1887645546,0
0.188766193,0
0.1887678314,0
0.1887694698,0
0.1887711082,0
0.1887727466,0
0.188774385,0
0.1887760234,0
0.1887776618,0
0.1887793002,0
0.1887809386,0
0.188782577,0
0.188808001,15
0.188808683666,13
0.188809366332,11
0.188810048998,9
0.188810731664,7
0.18881141433,5
0.188812096996,3
0.188812779662,1
0.188858342333,15
0.188859024999,13
0.188859707665,11
0.188860390331,9
0.188861072997,7
0.188861755663,5
0.188862438329,3
0.188863120995,1
0.188908342333,14
0.188909024999,12
0.188909707665,10
0.188910390331,8
0.188911072997,6
0.188911755663,4
0.188912438329,2
0.188913120995,0
0.1889145546,0
0.188916193,0
0.1889178314,0
0.1889194698,0
0.1889211082,0
0.1889227466,0
0.188924385,0
0.1889260234,0
0.1889276618,0
0.1889293002,0
0.1889309386,0
0.188932577,0
0.188958001,15
0.188958683666,13
0.188959366332,11
0.188960048998,9
0.188960731664,7
0.18896141433,5
0.188962096996,3
0.188962779662,1
0.189008342333,14
0.189009024999,12
0.189009707665,10
0.189010390331,8
0.189011072997,6
0.189011755663,4
0.189012438329,2
0.189013120995,0
0.1890145546,0
0.189016193,0
0.1890178314,0
0.1890194698,0
0.1890211082,0
0.1890227466,0
0.189024385,0
0.1890260234,0
0.1890276618,0
0.1890293002,0
0.1890309386,0
0.189032577,0
0.189058001,16
0.189058683666,14
0.189059366332,12
0.189060048998,10
0.189060731664,8
0.18906141433,6
0.189062096996,4
0.189062779662,2
0.189063462328,0
0.1890645546,0
0.189066193,0
0.1890678314,0
0.1890694698,0
0.1890711082,0
0.1890727466,0
0.189074385,0
0.1890760234,0
0.1890776618,0
0.1890793002,0
0.1890809386,0
0.189082577,0
0.1890842154,0
0.189108001,15
0.189108683666,13
0.189109366332,11
0.189110048998,9
0.189110731664,7
0.18911141433,5
0.189112096996,3
0.189112779662,1
0.189158342333,14
0.189159024999,12
0.189159707665,10
0.189160390331,8
0.189161072997,6
0.189161755663,4
0.189162438329,2
0.189163120995,0
0.1891645546,0
0.189166193,0
0.1891678314,0
0.1891694698,0
0.1891711082,0
0.1891727466,0
0.189174385,0
0.1891760234,0
0.1891776618,0
0.1891793002,0
0.1891809386,0
0.189182577,0
0.189208001,15
0.189208683666,13
0.189209366332,11
0.189210048998,9
0.189210731664,7
0.18921141433,5
0.189212096996,3
0.189212779662,1
0.189258342333,15
0.189259024999,13
0.189259707665,11
0.189260390331,9
0.189261072997,7
0.189261755663,5
0.189262438329,3
0.189263120995,1
0.189308342333,14
0.189309024999,12
0.189309707665,10
0.189310390331,8
0.189311072997,6
0.189311755663,4
0.189312438329,2
0.189313120995,0
0.1893145546,0
0.189316193,0
0.1893178314,0
0.1893194698,0
0.1893211082,0
0.1893227466,0
0.189324385,0
0.1893260234,0
0.1893276618,0
0.1893293002,0
0.1893309386,0
0.189332577,0
0.189358001,15
0.189358683666,13
0.189359366332,11
0.189360048998,9
0.189360731664,7
0.18936141433,5
0.189362096996,3
0.189362779662,1
0.189408342333,14
0.189409024999,12
0.189409707665,10
0.189410390331,8
0.189411072997,6
0.189411755663,4
0.189412438329,2
0.189413120995,0
0.1894145546,0
0.189416193,0
0.1894178314,0
0.1894194698,0
0.1894211082,0
0.1894227466,0
0.189424385,0
0.1894260234,0
0.1894276618,0
0.1894293002,0
0.1894309386,0
0.189432577,0
0.189458001,16
0.189458683666,14
0.189459366332,12
0.189460048998,10
