time,demo_victim_network.H_2.gen.Throughput
0.1202,1.6384e+009
0.1204,1.72032e+009
0.1206,1.6384e+009
0.1208,1.6384e+009
0.121,1.72032e+009
0.1212,1.6384e+009
0.1214,1.6384e+009
0.1216,1.72032e+009
0.1218,1.6384e+009
0.122,1.6384e+009
0.1222,1.72032e+009
0.1224,1.6384e+009
0.1226,1.6384e+009
0.1228,1.72032e+009
0.123,1.6384e+009
0.1232,1.6384e+009
0.1234,1.72032e+009
0.1236,1.6384e+009
0.1238,1.6384e+009
0.124,1.72032e+009
0.1242,1.6384e+009
0.1244,1.6384e+009
0.1246,1.72032e+009
0.1248,1.6384e+009
0.125,1.6384e+009
0.1252,1.72032e+009
0.1254,1.6384e+009
0.1256,1.6384e+009
0.1258,1.72032e+009
0.126,1.6384e+009
0.1262,1.72032e+009
0.1264,1.6384e+009
0.1266,1.6384e+009
0.1268,1.72032e+009
0.127,1.6384e+009
0.1272,1.6384e+009
0.1274,1.72032e+009
0.1276,1.6384e+009
0.1278,1.6384e+009
0.128,1.72032e+009
0.1282,1.6384e+009
0.1284,1.6384e+009
0.1286,1.72032e+009
0.1288,1.6384e+009
0.129,1.6384e+009
0.1292,1.72032e+009
0.1294,1.6384e+009
0.1296,1.6384e+009
0.1298,1.72032e+009
0.13,1.6384e+009
0.1302,1.6384e+009
0.1304,1.72032e+009
0.1306,1.6384e+009
0.1308,1.6384e+009
0.131,1.72032e+009
0.1312,1.6384e+009
0.1314,1.6384e+009
0.1316,1.72032e+009
0.1318,1.6384e+009
0.132,1.6384e+009
0.1322,1.72032e+009
0.1324,1.6384e+009
0.1326,1.6384e+009
0.1328,1.72032e+009
0.133,1.6384e+009
0.1332,1.72032e+009
0.1334,1.6384e+009
0.1336,1.6384e+009
0.1338,1.72032e+009
0.134,1.6384e+009
0.1342,1.6384e+009
0.1344,1.72032e+009
0.1346,1.6384e+009
0.1348,1.6384e+009
0.135,1.72032e+009
0.1352,1.6384e+009
0.1354,1.6384e+009
0.1356,1.72032e+009
0.1358,1.6384e+009
0.136,1.6384e+009
0.1362,1.72032e+009
0.1364,1.6384e+009
0.1366,1.6384e+009
0.1368,1.72032e+009
0.137,1.6384e+009
0.1372,1.6384e+009
0.1374,1.72032e+009
0.1376,1.6384e+009
0.1378,1.6384e+009
0.138,1.72032e+009
0.1382,1.6384e+009
0.1384,1.6384e+009
0.1386,1.72032e+009
0.1388,1.6384e+009
0.139,1.6384e+009
0.1392,1.72032e+009
0.1394,1.6384e+009
0.1396,1.6384e+009
0.1398,1.72032e+009
0.14,1.6384e+009
0.1402,1.6384e+009
0.1404,1.72032e+009
0.1406,1.6384e+009
0.1408,1.72032e+009
0.141,1.6384e+009
0.1412,1.6384e+009
0.1414,1.72032e+009
0.1416,1.6384e+009
0.1418,1.6384e+009
0.142,1.72032e+009
0.1422,1.6384e+009
0.1424,1.6384e+009
0.1426,1.72032e+009
0.1428,1.6384e+009
0.143,1.6384e+009
0.1432,1.72032e+009
0.1434,1.6384e+009
0.1436,1.6384e+009
0.1438,1.72032e+009
0.144,1.6384e+009
0.1442,1.6384e+009
0.1444,1.72032e+009
0.1446,1.6384e+009
0.1448,1.6384e+009
0.145,1.72032e+009
0.1452,1.6384e+009
0.1454,1.6384e+009
0.1456,1.72032e+009
0.1458,1.6384e+009
0.146,1.6384e+009
0.1462,1.72032e+009
0.1464,1.6384e+009
0.1466,1.6384e+009
0.1468,1.72032e+009
0.147,1.6384e+009
0.1472,1.6384e+009
0.1474,1.72032e+009
0.1476,1.6384e+009
0.1478,1.72032e+009
0.148,1.6384e+009
0.1482,1.6384e+009
0.1484,1.72032e+009
0.1486,1.6384e+009
0.1488,1.6384e+009
0.149,1.72032e+009
0.1492,1.6384e+009
0.1494,1.6384e+009
0.1496,1.72032e+009
0.1498,1.6384e+009
0.15,1.6384e+009
0.1502,1.72032e+009
0.1504,1.6384e+009
0.1506,1.6384e+009
0.1508,1.72032e+009
0.151,1.6384e+009
0.1512,1.6384e+009
0.1514,1.72032e+009
0.1516,1.6384e+009
0.1518,1.6384e+009
0.152,1.72032e+009
0.1522,1.6384e+009
0.1524,1.6384e+009
0.1526,1.72032e+009
0.1528,1.6384e+009
0.153,1.6384e+009
0.1532,1.72032e+009
0.1534,1.6384e+009
0.1536,1.6384e+009
0.1538,1.72032e+009
0.154,1.6384e+009
0.1542,1.6384e+009
0.1544,1.72032e+009
0.1546,1.6384e+009
0.1548,1.6384e+009
0.155,1.72032e+009
0.1552,1.6384e+009
0.1554,1.72032e+009
0.1556,1.6384e+009
0.1558,1.6384e+009
0.156,1.72032e+009
0.1562,1.6384e+009
0.1564,1.6384e+009
0.1566,1.72032e+009
0.1568,1.6384e+009
0.157,1.6384e+009
0.1572,1.72032e+009
0.1574,1.6384e+009
0.1576,1.6384e+009
0.1578,1.72032e+009
0.158,1.6384e+009
0.1582,1.6384e+009
0.1584,1.72032e+009
0.1586,1.6384e+009
0.1588,1.6384e+009
0.159,1.72032e+009
0.1592,1.6384e+009
0.1594,1.6384e+009
0.1596,1.72032e+009
0.1598,1.6384e+009
0.16,1.6384e+009
0.1602,1.72032e+009
0.1604,1.6384e+009
0.1606,1.6384e+009
0.1608,1.72032e+009
0.161,1.6384e+009
0.1612,1.6384e+009
0.1614,1.72032e+009
0.1616,1.6384e+009
0.1618,1.6384e+009
0.162,1.72032e+009
0.1622,1.6384e+009
0.1624,1.72032e+009
0.1626,1.6384e+009
0.1628,1.6384e+009
0.163,1.72032e+009
0.1632,1.6384e+009
0.1634,1.6384e+009
0.1636,1.72032e+009
0.1638,1.6384e+009
0.164,1.6384e+009
0.1642,1.72032e+009
0.1644,1.6384e+009
0.1646,1.6384e+009
0.1648,1.72032e+009
0.165,1.6384e+009
0.1652,1.6384e+009
0.1654,1.72032e+009
0.1656,1.6384e+009
0.1658,1.6384e+009
0.166,1.72032e+009
0.1662,1.6384e+009
0.1664,1.6384e+009
0.1666,1.72032e+009
0.1668,1.6384e+009
0.167,1.6384e+009
0.1672,1.72032e+009
0.1674,1.6384e+009
0.1676,1.6384e+009
0.1678,1.72032e+009
0.168,1.6384e+009
0.1682,1.6384e+009
0.1684,1.72032e+009
0.1686,1.6384e+009
0.1688,1.6384e+009
0.169,1.72032e+009
0.1692,1.6384e+009
0.1694,1.6384e+009
0.1696,1.72032e+009
0.1698,1.6384e+009
0.17,1.72032e+009
0.1702,1.6384e+009
0.1704,1.6384e+009
0.1706,1.72032e+009
0.1708,1.6384e+009
0.171,1.6384e+009
0.1712,1.72032e+009
0.1714,1.6384e+009
0.1716,1.6384e+009
0.1718,1.72032e+009
0.172,1.6384e+009
0.1722,1.6384e+009
0.1724,1.72032e+009
0.1726,1.6384e+009
0.1728,1.6384e+009
0.173,1.72032e+009
0.1732,1.6384e+009
0.1734,1.6384e+009
0.1736,1.72032e+009
0.1738,1.6384e+009
0.174,1.6384e+009
0.1742,1.72032e+009
0.1744,1.6384e+009
0.1746,1.6384e+009
0.1748,1.72032e+009
0.175,1.6384e+009
0.1752,1.6384e+009
0.1754,1.72032e+009
0.1756,1.6384e+009
0.1758,1.6384e+009
0.176,1.72032e+009
0.1762,1.6384e+009
0.1764,1.6384e+009
0.1766,1.72032e+009
0.1768,1.6384e+009
0.177,1.72032e+009
0.1772,1.6384e+009
0.1774,1.6384e+009
0.1776,1.72032e+009
0.1778,1.6384e+009
0.178,1.6384e+009
0.1782,1.72032e+009
0.1784,1.6384e+009
0.1786,1.6384e+009
0.1788,1.72032e+009
0.179,1.6384e+009
0.1792,1.6384e+009
0.1794,1.72032e+009
0.1796,1.6384e+009
0.1798,1.6384e+009
0.18,1.72032e+009
0.1802,1.6384e+009
0.1804,1.6384e+009
0.1806,1.72032e+009
0.1808,1.6384e+009
0.181,1.6384e+009
0.1812,1.72032e+009
0.1814,1.6384e+009
0.1816,1.6384e+009
0.1818,1.72032e+009
0.182,1.6384e+009
0.1822,1.6384e+009
0.1824,1.72032e+009
0.1826,1.6384e+009
0.1828,1.6384e+009
0.183,1.72032e+009
0.1832,1.6384e+009
0.1834,1.6384e+009
0.1836,1.72032e+009
0.1838,1.6384e+009
0.184,1.6384e+009
0.1842,1.72032e+009
0.1844,1.6384e+009
0.1846,1.72032e+009
0.1848,1.6384e+009
0.185,1.6384e+009
0.1852,1.72032e+009
0.1854,1.6384e+009
0.1856,1.6384e+009
0.1858,1.72032e+009
0.186,1.6384e+009
0.1862,1.6384e+009
0.1864,1.72032e+009
0.1866,1.6384e+009
0.1868,1.6384e+009
0.187,1.72032e+009
0.1872,1.6384e+009
0.1874,1.6384e+009
0.1876,1.72032e+009
0.1878,1.6384e+009
0.188,1.6384e+009
0.1882,1.72032e+009
0.1884,1.6384e+009
0.1886,1.6384e+009
